"Blues For Wood","rb2"
"Blues For Yna Yna","nr2"
"Blues From An American In Paris","blu"
"Blues In A Closet","col"
"Blues In A Cold Water Flat","lib"
"Blues In The Closet","jfk"
"Blues In The Closet","lib"
"Blues In The Closet","rb2"
"Blues In The Night","jfk"
"Blues In The Night","srb"
"Blues In Time","hlr"
"Blues March","agz"
"Blues March","hlr"
"Blues Minor","col"
"Blues My Naughty Sweetie Gives To Me","blu"
"Blues Never Die (The)","blu"
"Blues On The Corner","nr1"
"Blues On Time","hlr"
"Blues Peru","jlt"
"Blues Stay Away From Me","blu"
"Blues The Most","lib"
"Blues Walk","col"
"Blues In My Heart","agz"
"Blues In The Air","agz"
"Blues In The Closet","agz"
"Blues In The Night","agz"
"Blues My Naughty Sweetie","agz"
"Bluesette","agz"
"Bluesette","rb1"
"Bluesette","tbk"
"Bluesette","jfk"
"Bluesette","srb"
"Bluesette","blu"
"Bluesology","agz"
"Bluin The Blues","agz"
"Bluish Grey","hlr"
"Boardwalk","lib"
"Bob Movers Bossa Nova","jlt"
"Bobby A","tob"
"Bockhanal","jlt"
"Bockhanal","lib"
"Body And Soul","blu"
"Body And Soul","col"
"Body And Soul","jfk"
"Body And Soul","rb1"
"Body And Soul","tbk"
"Body And Soul","nr2"
"Body And Soul","nr3"
"Body And Soul","agz"
"Bohemia After Dark","rb2"
"Bohemia After Dark","agz"
"Bolero (Rhythm)","tbk"
"Bolivia","col"
"Bolivia","rb3"
"Bolivia","nr2"
"Bombo De Corazon","lrb"
"Bones From Jones","jlt"
"Bongo Hop","jlt"
"Boo Boo Be Doop","lib"
"Boogie Down","nr1"
"Boogie Stop Shuffle","rb2"
"Boogie Woogie (The Original)","jfk"
"Bookers Waltz","rb2"
"Boomerang","lib"
"Booze Brothers","hlr"
"Bop Boy","rb3"
"Bop City","jlt"
"Bop City","lib"
"Bop Shop","rb3"
"Boplicity","lib"
"Boplicity","rb1"
"Boplicity (Bebop Lives)","jfk"
"Born To Be Bad","hlr"
"Born To Be Blue","jfk"
"Born To Be Blue","rb3"
"Born To Be Blue","srb"
"Born To Lose","blu"
"Bossa Antigua","hlr"
"Bossa Nova (Rhythm)","tbk"
"Bossa Rokka","rb3"
"Boston Marathon","rb1"
"Both Sides Of The Coin","hlr"
"Both Sides Of The Coin","nr1"
"Bottoms Up","jlt"
"Bottoms Up","lib"
"Bounce","lib"
"Bouncin With Bud","nr1"
"Bouncing With Bud","rb2"
"Bouncing With Bud","tob"
"Bouncing With Bud","lib"
"Bouncing With Bud","agz"
"Bourbon Street Parade","agz"
"Boy Next Door","rb3"
"Boy Next Door","tbk"
"Boy Next Door (The)","nr2"
"Boy What A Night","jlt"
"Brainville","rb1"
"Brasileiro","lrb"
"Brazil","hlr"
"Brazil","lrb"
"Brazil","tbk"
"Brazilian Beat","rb2"
"Brazilian Beat","tob"
"Breakfast Wine","nr1"
"Breakfast With Joe","lib"
"Breakin Away","hlr"
"Breakin Away","nr1"
"Breakthrough","jlt"
"Breeze (The)","blu"
"Breeze And 1 (The)","jfk"
"Breeze And J","agz"
"Breezin","tob"
"Breezin Along With The Breeze","agz"
"Brians Song","rb2"
"Brians Song","tob"
"Bridgitte","jlt"
"Bright Blues","jlt"
"Bright Blues","lib"
"Bright Boy","rb2"
"Bright Boy","tob"
"Bright Lights Big City","blu"
"Bright Moments","tob"
"Bright Size Life","rb1"
"Bright Moments","rb2"
"Brilliant Corners","rb2"
"Bring It With You When You Come","blu"
"Broadway","agz"
"Broadway","hlr"
"Broadway Blues","rb1"
